#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
5.1%	2550	5.09999999999966	-985.6875847816494	337.05169677734375	-648.6358880043057	104.74935747430992	131	3.2973015308380127	1:02
5.2%	2600	5.199999999999649	-986.9721306800869	309.03643798828125	-677.9356926918057	96.04273951128155	131	3.363431930541992	1:02
5.3%	2650	5.299999999999638	-982.1325921058682	327.55035400390625	-654.5822381019619	101.79651801325174	131	3.4290902614593506	1:02
5.4%	2700	5.399999999999627	-987.5850457191494	312.11175537109375	-675.4732903480557	96.99849058139704	131	3.4946422576904297	1:02
5.5%	2750	5.499999999999616	-971.7725457191494	329.67486572265625	-642.0976799964932	102.45677648283814	131	3.5606048107147217	1:02
5.6%	2800	5.599999999999605	-982.7423943519619	309.5138854980469	-673.2285088539151	96.1911212591079	131	3.626297950744629	1:02
5.7%	2850	5.699999999999594	-982.2351922035244	317.8703308105469	-664.3648613929776	98.78814802272579	131	3.6922101974487305	1:02
5.8%	2900	5.799999999999583	-988.6974724769619	323.57623291015625	-665.1212395668057	100.56143557611922	131	3.7579081058502197	1:02
5.9%	2950	5.899999999999572	-998.7026604652432	319.45074462890625	-679.2519158363369	99.27931105082953	131	3.823438882827759	1:02
6.0%	3000	5.999999999999561	-1000.5597771644619	325.9874267578125	-674.5723504066494	101.31078948444518	131	3.889000177383423	1:01
6.1%	3050	6.09999999999955	-986.2551506996182	303.7733459472656	-682.4818047523526	94.40706903433176	131	3.954937219619751	1:01
6.2%	3100	6.199999999999539	-986.3836297035244	350.7892761230469	-635.5943535804776	109.01873995620663	131	4.020531415939331	1:01
6.3%	3150	6.299999999999528	-988.4252556800869	316.9775695800781	-671.4476861000088	98.51069454551826	131	4.08610463142395	1:01
6.4%	3200	6.399999999999517	-986.1923455238369	359.44000244140625	-626.7523430824307	111.70722374726392	131	4.1518659591674805	1:01
6.5%	3250	6.499999999999506	-989.4722527503994	319.6656799316406	-669.8065728187588	99.3461089191543	131	4.217436790466309	1:01
6.6%	3300	6.599999999999495	-981.5205925941494	331.5039367675781	-650.0166558265713	103.02521752189037	131	4.283579587936401	1:01
6.7%	3350	6.699999999999484	-983.6145867347744	309.3524169921875	-674.2621697425869	96.14093987030962	131	4.349203824996948	1:01
6.8%	3400	6.799999999999473	-975.4082879066494	317.1484069824219	-658.2598809242276	98.56378761195047	131	4.415451288223267	1:01
6.9%	3450	6.899999999999462	-993.1287468910244	327.3248291015625	-665.8039177894619	101.72642909561436	131	4.481451749801636	1:01
7.0%	3500	6.999999999999451	-1001.7735833168057	282.81646728515625	-718.9571160316494	87.89406347609777	131	4.547287940979004	1:01
7.1%	3550	7.09999999999944	-1001.5153435707119	332.3951721191406	-669.1201714515713	103.30219678449954	131	4.613152265548706	1:01
7.2%	3600	7.199999999999429	-990.7931145668057	323.39764404296875	-667.3954705238369	100.50593349952734	131	4.678691864013672	1:01
7.3%	3650	7.299999999999418	-984.2110222816494	306.1163635253906	-678.0946587562588	95.13523503440305	131	4.744230508804321	1:01
7.4%	3700	7.399999999999407	-998.3153313636807	332.5141906738281	-665.8011406898526	103.33918552317151	131	4.809925556182861	1:01
7.5%	3750	7.499999999999396	-991.5314568519619	287.4654235839844	-704.0660332679776	89.33887206150028	131	4.875503301620483	1:00
7.6%	3800	7.599999999999385	-992.6993035316494	334.5755920410156	-658.1237114906338	103.9798304769698	131	4.94106125831604	1:00
7.7%	3850	7.699999999999374	-990.7961052894619	306.8149108886719	-683.9811944007901	95.35233047753155	131	5.006852388381958	1:00
7.8%	3900	7.799999999999363	-992.9952019691494	319.352783203125	-673.6424187660244	99.24886647361494	131	5.07224178314209	1:00
7.9%	3950	7.899999999999352	-1000.2115105628994	340.3832092285156	-659.8283013343838	105.78472917548979	131	5.13775897026062	1:00
8.0%	4000	7.999999999999341	-990.3031243324307	303.40399169921875	-686.8991326332119	94.2922806486531	131	5.203415393829346	1:00
8.1%	4050	8.099999999999374	-992.3686150550869	336.0559997558594	-656.3126152992276	104.43991348029712	131	5.269690036773682	1:00
8.2%	4100	8.199999999999408	-997.4600457191494	304.7893981933594	-692.6706475257901	94.72283905108665	131	5.335280418395996	1:00
8.3%	4150	8.299999999999441	-1004.0765618324307	308.11529541015625	-695.9612664222744	95.75646564254455	131	5.4009339809417725	1:00
8.4%	4200	8.399999999999475	-991.5255364418057	346.70477294921875	-644.8207634925869	107.74935283502886	131	5.466486930847168	1:00
8.5%	4250	8.499999999999508	-993.1829461097744	312.8053283691406	-680.3776177406338	97.21404008493488	131	5.53201699256897	1:00
8.6%	4300	8.599999999999541	-994.1197747230557	339.92047119140625	-654.1993035316494	105.64091885639161	131	5.597878932952881	1:00
8.7%	4350	8.699999999999575	-989.1259392738369	326.8114013671875	-662.3145379066494	101.56686536755873	131	5.663971185684204	1:00
8.8%	4400	8.799999999999608	-973.1304558753994	314.4289855957031	-658.7014702796963	97.7186423547561	131	5.7294251918792725	1:00
8.9%	4450	8.899999999999642	-986.4656609535244	345.8607482910156	-640.6049126625088	107.48704577209288	131	5.795353651046753	0:59
9.0%	4500	8.999999999999675	-981.8311394691494	299.6873474121094	-682.1437920570401	93.13721718284759	131	5.860870361328125	0:59
9.1%	4550	9.099999999999708	-980.2837151527432	335.29156494140625	-644.9921502113369	104.20234145081153	131	5.927114009857178	0:59
9.2%	4600	9.199999999999742	-989.7433709144619	304.7322692871094	-685.0111016273526	94.70508445652412	131	5.992773056030273	0:59
9.3%	4650	9.299999999999775	-982.1283806800869	318.4207458496094	-663.7076348304776	98.95920671264564	131	6.058424711227417	0:59
9.4%	4700	9.399999999999809	-992.2423333168057	329.11004638671875	-663.1322869300869	102.28124120710977	131	6.124253988265991	0:59
9.5%	4750	9.499999999999842	-988.9506463050869	311.7939147949219	-677.1567315101651	96.89971168055898	131	6.1900763511657715	0:59
9.6%	4800	9.599999999999875	-968.1081170082119	337.1965026855469	-630.9116143226651	104.79436043969415	131	6.255870342254639	0:59
9.7%	4850	9.699999999999909	-982.0395134925869	325.1319885253906	-656.9075249671963	101.0449352963135	131	6.321542739868164	0:59
9.8%	4900	9.799999999999942	-987.1305779457119	302.1819763183594	-684.9486016273526	93.91250114541178	131	6.38735294342041	0:59
9.9%	4950	9.899999999999975	-997.5127800941494	336.6998291015625	-660.8129509925869	104.64000358792848	131	6.452145576477051	0:59
10.0%	5000	10.000000000000009	-1011.6375359535244	320.73095703125	-690.9065789222744	99.67717709885224	131	6.518028497695923	0:59
10.1%	5050	10.100000000000042	-999.7712639808682	313.13897705078125	-686.6322869300869	97.31773184901193	131	6.5841453075408936	0:59
10.2%	5100	10.200000000000076	-991.6919793128994	337.0627136230469	-654.6292656898526	104.75278130371007	131	6.649919271469116	0:59
10.3%	5150	10.300000000000109	-997.7460564613369	311.0969543457031	-686.6491021156338	96.6831094206128	131	6.717911005020142	0:59
10.4%	5200	10.400000000000142	-994.3138665199307	321.6883544921875	-672.6255120277432	99.97471830644626	131	6.783736944198608	0:59
10.5%	5250	10.500000000000176	-1003.3874749183682	340.3673400878906	-663.0201348304776	105.77979734366686	131	6.849261045455933	0:58
10.6%	5300	10.60000000000021	-1016.9833001136807	306.6184387207031	-710.3648613929776	95.29127060584692	131	6.915040016174316	0:58
10.7%	5350	10.700000000000243	-1020.9449090003994	339.99639892578125	-680.9485100746182	105.66451577480592	131	6.980629920959473	0:58
